File Name,WER,Accuracy %
6000314632718_silence.wav.txt,0.0625,93.75
6000314636895_silence.wav.txt,0.09615384615384616,90.38
6000314639748_silence.wav.txt,0.24,76.0
6000314669924_silence.wav.txt,0.10714285714285714,89.29
6000314950393_short.wav.txt,0.16326530612244897,83.67
6000314954022_silence.wav.txt,0.10416666666666667,89.58
6000314966237-hcat142-out_silence_L30S.wav.txt,0.23404255319148937,76.6
6000314966237_short.wav.txt,0.09900990099009901,90.1
6000314983693_short.wav.txt,0.10476190476190476,89.52
6000314989419-hcat142-out_silence_L30S.wav.txt,0.11235955056179775,88.76
6000315012402_short.wav.txt,0.09375,90.62
6000315086824_short.wav.txt,0.20202020202020202,79.8
6000315125928-hcat142-out_silence_L30S.wav.txt,0.14772727272727273,85.23
6000315125928_short.wav.txt,0.11224489795918367,88.78
6000315209331_silence.wav.txt,0.23529411764705882,76.47
6000315212055_silence.wav.txt,0.1590909090909091,84.09
6000315247207_short.wav.txt,0.14705882352941177,85.29
6000315278198_short.wav.txt,0.07142857142857142,92.86
6000315320588_silence.wav.txt,0.07608695652173914,92.39
6000315326682-hcat142-out_silence_L30S.wav.txt,0.11627906976744186,88.37
6000315326682_short.wav.txt,0.12903225806451613,87.1
6000315330914-hcat142-out_silence_L30S.wav.txt,0.26666666666666666,73.33
6000315330914_short.wav.txt,0.1414141414141414,85.86
6000315362334-hcat142-out_silence_L30S.wav.txt,0.11538461538461539,88.46
6000315362334_short.wav.txt,0.1566265060240964,84.34
6000315428430-hcat142-out_silence_L30S.wav.txt,0.24615384615384617,75.38
6000315450871_silence.wav.txt,0.10714285714285714,89.29
6000315607668-hcat142-out_silence_L30S.wav.txt,0.1095890410958904,89.04
6000315614354-hcat142-out_silence_L30S.wav.txt,0.0989010989010989,90.11
6000315614354_short.wav.txt,0.09917355371900827,90.08
6000315621698-hcat142-out_silence_L30S.wav.txt,0.0784313725490196,92.16
6000315665719_silence.wav.txt,0.05084745762711865,94.92
6000315750743_short.wav.txt,0.08823529411764706,91.18
6000315776795_silence.wav.txt,0.08695652173913043,91.3
6000315789929_silence.wav.txt,0.1368421052631579,86.32
6000316095896_silence.wav.txt,0.07920792079207921,92.08
6000316126364_silence.wav.txt,0.13432835820895522,86.57
6000316208291_silence.wav.txt,0.045454545454545456,95.45
6000316317333_silence.wav.txt,0.058823529411764705,94.12
6000316489586-hcat142-out_silence_L30S.wav.txt,0.15384615384615385,84.62
6000316494689-hcat142-out_silence_L30S.wav.txt,0.060240963855421686,93.98
6000316494689_silence.wav.txt,0.10204081632653061,89.8
6000316637695_silence.wav.txt,0.10975609756097561,89.02
6000316716932-hcat142-out_silence_L30S.wav.txt,0.06060606060606061,93.94
6000316741752_silence.wav.txt,0.18181818181818182,81.82
6000316774744-hcat142-out_silence_L30S.wav.txt,0.15217391304347827,84.78
6000316774744_short.wav.txt,0.0859375,91.41
6000316798276-hcat142-out_silence_L30S.wav.txt,0.13636363636363635,86.36
6000316806229-hcat142-out_silence_L30S.wav.txt,0.125,87.5
6000316833581-hcat142-out_silence_L30S.wav.txt,0.125,87.5
6000316983836-hcat142-out_silence_L30S.wav.txt,0.08791208791208792,91.21
6000317015782-hcat142-out_silence_L30S.wav.txt,0.07317073170731707,92.68
6000317217997_silence.wav.txt,0.16279069767441862,83.72
6000317241742_silence.wav.txt,0.14705882352941177,85.29
6000317281799-hcat142-out_silence_L30S.wav.txt,0.1375,86.25
6000317455770-hcat142-out_silence_L30S.wav.txt,0.15294117647058825,84.71
6000317673280-hcat142-out_silence_L30S.wav.txt,0.07142857142857142,92.86
6000317698981-hcat142-out_silence_L30S.wav.txt,0.15384615384615385,84.62
6000317728860-hcat142-out_silence_L30S.wav.txt,0.13043478260869565,86.96
6000317756023-hcat142-out_silence_L30S.wav.txt,0.07317073170731707,92.68
6000317756023_short.wav.txt,0.08181818181818182,91.82
6000317834616_silence.wav.txt,0.09523809523809523,90.48
6000318208960-hcat142-out_silence_L30S.wav.txt,0.24242424242424243,75.76
6000318216041-hcat142-out_silence_L30S.wav.txt,0.07142857142857142,92.86
6000318218926-hcat142-out_silence_L30S.wav.txt,0.12307692307692308,87.69
6000318291486-hcat142-out_silence_L30S.wav.txt,0.15517241379310345,84.48
6000318350697-hcat142-out_silence_L30S.wav.txt,0.1111111111111111,88.89
6000318444415-hcat142-out_silence_L30S.wav.txt,0.11702127659574468,88.3
6000318502544-hcat142-out_silence_L30S.wav.txt,0.11842105263157894,88.16
